,domain,layer,dim,choice,problem,repeat,cycles,plan_length,plan_found,time
125,blocksworld,2,16,best,1_12,2,0.0,252.0,True,36.29320287704468
126,blocksworld,2,16,best,1_13,0,0.0,272.0,True,43.01097536087036
127,blocksworld,2,16,best,1_13,1,0.0,278.0,True,44.15121388435364
128,blocksworld,2,16,best,1_13,2,0.0,274.0,True,43.548309087753296
129,blocksworld,2,16,best,1_14,0,0.0,270.0,True,42.51906061172485
130,blocksworld,2,16,best,1_14,1,0.0,280.0,True,37.32226085662842
131,blocksworld,2,16,best,1_14,2,0.0,266.0,True,40.677828788757324
132,blocksworld,2,16,best,1_15,0,0.0,278.0,True,50.187148332595825
133,blocksworld,2,16,best,1_15,1,0.0,272.0,True,45.49119544029236
134,blocksworld,2,16,best,1_15,2,0.0,272.0,True,46.06876730918884
135,blocksworld,2,16,best,1_16,0,0.0,292.0,True,51.112138748168945
136,blocksworld,2,16,best,1_16,1,0.0,290.0,True,48.95344948768616
137,blocksworld,2,16,best,1_16,2,0.0,282.0,True,52.288400411605835
138,blocksworld,2,16,best,1_17,0,0.0,300.0,True,54.31252837181091
139,blocksworld,2,16,best,1_17,1,0.0,304.0,True,54.02067756652832
140,blocksworld,2,16,best,1_17,2,0.0,298.0,True,52.48527526855469
141,blocksworld,2,16,best,1_18,0,0.0,330.0,True,62.37539982795715
142,blocksworld,2,16,best,1_18,1,0.0,324.0,True,62.00603747367859
143,blocksworld,2,16,best,1_18,2,0.0,324.0,True,61.539047718048096
144,blocksworld,2,16,best,1_19,0,0.0,332.0,True,81.95748114585876
145,blocksworld,2,16,best,1_19,1,0.0,336.0,True,70.40092539787292
146,blocksworld,2,16,best,1_19,2,0.0,334.0,True,73.26645970344543
147,blocksworld,2,16,best,1_20,0,0.0,352.0,True,81.26650857925415
148,blocksworld,2,16,best,1_20,1,0.0,356.0,True,81.78060626983643
149,blocksworld,2,16,best,1_20,2,0.0,342.0,True,87.38613152503967
150,blocksworld,2,16,best,1_21,0,0.0,354.0,True,91.66244983673096
151,blocksworld,2,16,best,1_21,1,0.0,348.0,True,80.62750124931335
152,blocksworld,2,16,best,1_21,2,0.0,340.0,True,84.37006902694702
153,blocksworld,2,16,best,1_22,0,0.0,364.0,True,100.23781871795654
154,blocksworld,2,16,best,1_22,1,0.0,368.0,True,84.00780892372131
155,blocksworld,2,16,best,1_22,2,0.0,358.0,True,91.43044519424438
156,blocksworld,2,16,best,1_23,0,0.0,410.0,True,117.43465113639832
157,blocksworld,2,16,best,1_23,1,0.0,404.0,True,116.59322118759155
158,blocksworld,2,16,best,1_23,2,0.0,400.0,True,115.50635600090027
159,blocksworld,2,16,best,1_24,0,0.0,388.0,True,118.68600106239319
160,blocksworld,2,16,best,1_24,1,0.0,396.0,True,99.92153453826904
161,blocksworld,2,16,best,1_24,2,0.0,378.0,True,101.03250908851624
162,blocksworld,2,16,best,1_25,0,0.0,406.0,True,119.99261951446533
163,blocksworld,2,16,best,1_25,1,0.0,408.0,True,111.68166375160217
164,blocksworld,2,16,best,1_25,2,0.0,408.0,True,121.83471274375916
165,blocksworld,2,16,best,1_26,0,0.0,444.0,True,144.48404717445374
166,blocksworld,2,16,best,1_26,1,0.0,438.0,True,135.50380754470825
167,blocksworld,2,16,best,1_26,2,0.0,414.0,True,136.33607125282288
168,blocksworld,2,16,best,1_27,0,0.0,436.0,True,186.21506929397583
169,blocksworld,2,16,best,1_27,1,0.0,432.0,True,172.00948762893677
170,blocksworld,2,16,best,1_27,2,0.0,426.0,True,165.80812907218933
171,blocksworld,2,16,best,1_28,0,0.0,424.0,True,134.59178161621094
172,blocksworld,2,16,best,1_28,1,0.0,424.0,True,128.48571276664734
173,blocksworld,2,16,best,1_28,2,0.0,430.0,True,142.29931735992432
174,blocksworld,2,16,best,1_29,0,0.0,454.0,True,160.20364356040955
175,blocksworld,2,16,best,1_29,1,0.0,454.0,True,172.485417842865
176,blocksworld,2,16,best,1_29,2,0.0,442.0,True,163.3740108013153
177,blocksworld,2,16,best,1_30,0,0.0,518.0,True,221.4015383720398
178,blocksworld,2,16,best,1_30,1,0.0,522.0,True,263.0473403930664
179,blocksworld,2,16,best,1_30,2,0.0,504.0,True,219.51571941375732
180,blocksworld,2,32,best,0_01,0,0.0,10.0,True,0.35470128059387207
181,blocksworld,2,32,best,0_01,1,0.0,10.0,True,0.32088184356689453
182,blocksworld,2,32,best,0_01,2,0.0,10.0,True,0.41378211975097656
183,blocksworld,2,32,best,0_02,0,0.0,8.0,True,0.32961487770080566
184,blocksworld,2,32,best,0_02,1,0.0,8.0,True,0.4546535015106201
185,blocksworld,2,32,best,0_02,2,0.0,8.0,True,0.45491647720336914
186,blocksworld,2,32,best,0_03,0,0.0,20.0,True,0.7569725513458252
187,blocksworld,2,32,best,0_03,1,0.0,20.0,True,0.6343998908996582
188,blocksworld,2,32,best,0_03,2,0.0,20.0,True,0.622732400894165
189,blocksworld,2,32,best,0_04,0,0.0,24.0,True,0.7186076641082764
190,blocksworld,2,32,best,0_04,1,0.0,24.0,True,0.90212082862854
191,blocksworld,2,32,best,0_04,2,0.0,24.0,True,0.736060380935669
192,blocksworld,2,32,best,0_05,0,0.0,24.0,True,0.83734130859375
193,blocksworld,2,32,best,0_05,1,0.0,24.0,True,0.9439413547515869
194,blocksworld,2,32,best,0_05,2,0.0,24.0,True,0.8186933994293213
195,blocksworld,2,32,best,0_06,0,0.0,26.0,True,0.9759700298309326
196,blocksworld,2,32,best,0_06,1,0.0,30.0,True,1.205111026763916
197,blocksworld,2,32,best,0_06,2,0.0,26.0,True,0.9956529140472412
198,blocksworld,2,32,best,0_07,0,0.0,32.0,True,1.0510728359222412
199,blocksworld,2,32,best,0_07,1,0.0,32.0,True,1.1563720703125
200,blocksworld,2,32,best,0_07,2,0.0,32.0,True,1.1890311241149902
201,blocksworld,2,32,best,0_08,0,0.0,32.0,True,0.9638769626617432
202,blocksworld,2,32,best,0_08,1,0.0,32.0,True,1.119898796081543
203,blocksworld,2,32,best,0_08,2,0.0,32.0,True,1.0757789611816406
204,blocksworld,2,32,best,0_09,0,0.0,36.0,True,1.2336585521697998
205,blocksworld,2,32,best,0_09,1,0.0,36.0,True,1.1827139854431152
206,blocksworld,2,32,best,0_09,2,0.0,36.0,True,1.2865207195281982
207,blocksworld,2,32,best,0_10,0,0.0,38.0,True,1.4604661464691162
208,blocksworld,2,32,best,0_10,1,0.0,38.0,True,1.3117022514343262
209,blocksworld,2,32,best,0_10,2,0.0,38.0,True,1.2962641716003418
210,blocksworld,2,32,best,0_11,0,0.0,48.0,True,1.8739292621612549
211,blocksworld,2,32,best,0_11,1,0.0,48.0,True,1.8434135913848877
212,blocksworld,2,32,best,0_11,2,0.0,48.0,True,1.63417387008667
213,blocksworld,2,32,best,0_12,0,0.0,42.0,True,1.5318145751953125
214,blocksworld,2,32,best,0_12,1,0.0,46.0,True,1.580320119857788
215,blocksworld,2,32,best,0_12,2,0.0,42.0,True,1.5425209999084473
216,blocksworld,2,32,best,0_13,0,0.0,46.0,True,1.9696063995361328
217,blocksworld,2,32,best,0_13,1,0.0,48.0,True,1.9003539085388184
218,blocksworld,2,32,best,0_13,2,0.0,48.0,True,1.7551050186157227
219,blocksworld,2,32,best,0_14,0,0.0,46.0,True,1.5809566974639893
220,blocksworld,2,32,best,0_14,1,0.0,48.0,True,1.6084566116333008
221,blocksworld,2,32,best,0_14,2,0.0,48.0,True,1.8233952522277832
222,blocksworld,2,32,best,0_15,0,0.0,48.0,True,1.9961144924163818
223,blocksworld,2,32,best,0_15,1,0.0,48.0,True,2.127882957458496
224,blocksworld,2,32,best,0_15,2,0.0,50.0,True,2.0046348571777344
225,blocksworld,2,32,best,0_16,0,0.0,58.0,True,2.4150354862213135
226,blocksworld,2,32,best,0_16,1,0.0,60.0,True,2.145582914352417
227,blocksworld,2,32,best,0_16,2,0.0,56.0,True,2.1870784759521484
228,blocksworld,2,32,best,0_17,0,0.0,60.0,True,2.2189056873321533
229,blocksworld,2,32,best,0_17,1,0.0,60.0,True,2.130370855331421
230,blocksworld,2,32,best,0_17,2,0.0,60.0,True,2.544036388397217
231,blocksworld,2,32,best,0_18,0,0.0,56.0,True,2.232051134109497
232,blocksworld,2,32,best,0_18,1,0.0,56.0,True,2.1370062828063965
233,blocksworld,2,32,best,0_18,2,0.0,54.0,True,2.1919169425964355
234,blocksworld,2,32,best,0_19,0,0.0,60.0,True,2.1438486576080322
235,blocksworld,2,32,best,0_19,1,0.0,60.0,True,2.2579216957092285
236,blocksworld,2,32,best,0_19,2,0.0,62.0,True,2.3510615825653076
237,blocksworld,2,32,best,0_20,0,0.0,56.0,True,2.3113462924957275
238,blocksworld,2,32,best,0_20,1,0.0,56.0,True,2.341961622238159
239,blocksworld,2,32,best,0_20,2,0.0,56.0,True,2.2900259494781494
240,blocksworld,2,32,best,0_21,0,0.0,60.0,True,2.629830837249756
241,blocksworld,2,32,best,0_21,1,0.0,62.0,True,2.2743122577667236
242,blocksworld,2,32,best,0_21,2,0.0,58.0,True,2.5180821418762207
243,blocksworld,2,32,best,0_22,0,0.0,74.0,True,3.3911983966827393
244,blocksworld,2,32,best,0_22,1,0.0,78.0,True,3.3270647525787354
245,blocksworld,2,32,best,0_22,2,0.0,76.0,True,3.6776444911956787
246,blocksworld,2,32,best,0_23,0,0.0,66.0,True,3.268305540084839
247,blocksworld,2,32,best,0_23,1,0.0,66.0,True,2.4117674827575684
248,blocksworld,2,32,best,0_23,2,0.0,66.0,True,2.7134649753570557
249,blocksworld,2,32,best,0_24,0,0.0,80.0,True,3.7973906993865967
250,blocksworld,2,32,best,0_24,1,0.0,82.0,True,3.966596841812134
251,blocksworld,2,32,best,0_24,2,0.0,78.0,True,3.896157741546631
252,blocksworld,2,32,best,0_25,0,0.0,84.0,True,4.2025206089019775
253,blocksworld,2,32,best,0_25,1,0.0,86.0,True,4.522894382476807
254,blocksworld,2,32,best,0_25,2,0.0,86.0,True,4.179020643234253
255,blocksworld,2,32,best,0_26,0,0.0,78.0,True,3.7828173637390137
256,blocksworld,2,32,best,0_26,1,0.0,78.0,True,3.6281847953796387
257,blocksworld,2,32,best,0_26,2,0.0,78.0,True,3.9698939323425293
258,blocksworld,2,32,best,0_27,0,0.0,68.0,True,3.0858004093170166
259,blocksworld,2,32,best,0_27,1,0.0,72.0,True,3.304227590560913
260,blocksworld,2,32,best,0_27,2,0.0,70.0,True,3.5997583866119385
261,blocksworld,2,32,best,0_28,0,0.0,88.0,True,4.303233861923218
262,blocksworld,2,32,best,0_28,1,0.0,84.0,True,4.452633380889893
263,blocksworld,2,32,best,0_28,2,0.0,86.0,True,4.501458644866943
264,blocksworld,2,32,best,0_29,0,0.0,82.0,True,3.8036041259765625
265,blocksworld,2,32,best,0_29,1,0.0,78.0,True,4.1501305103302
266,blocksworld,2,32,best,0_29,2,0.0,86.0,True,4.003871440887451
267,blocksworld,2,32,best,0_30,0,0.0,98.0,True,4.885742902755737
268,blocksworld,2,32,best,0_30,1,0.0,94.0,True,5.541827917098999
269,blocksworld,2,32,best,0_30,2,0.0,100.0,True,5.137095212936401
270,blocksworld,2,32,best,1_01,0,0.0,120.0,True,5.951919078826904
271,blocksworld,2,32,best,1_01,1,0.0,112.0,True,6.360427141189575
272,blocksworld,2,32,best,1_01,2,0.0,116.0,True,5.9890522956848145
273,blocksworld,2,32,best,1_02,0,0.0,116.0,True,7.350491523742676
274,blocksworld,2,32,best,1_02,1,0.0,120.0,True,7.305788516998291
275,blocksworld,2,32,best,1_02,2,0.0,124.0,True,8.355298042297363
276,blocksworld,2,32,best,1_03,0,0.0,126.0,True,7.699193954467773
277,blocksworld,2,32,best,1_03,1,0.0,134.0,True,7.6020348072052
278,blocksworld,2,32,best,1_03,2,0.0,128.0,True,7.326930284500122
279,blocksworld,2,32,best,1_04,0,0.0,160.0,True,11.421605587005615
280,blocksworld,2,32,best,1_04,1,0.0,158.0,True,11.876200675964355
281,blocksworld,2,32,best,1_04,2,0.0,160.0,True,11.727526426315308
282,blocksworld,2,32,best,1_05,0,0.0,154.0,True,12.978867292404175
283,blocksworld,2,32,best,1_05,1,0.0,162.0,True,11.932981014251709
284,blocksworld,2,32,best,1_05,2,0.0,156.0,True,12.314920902252197
285,blocksworld,2,32,best,1_06,0,0.0,160.0,True,11.695348024368286
286,blocksworld,2,32,best,1_06,1,0.0,158.0,True,11.274234056472778
287,blocksworld,2,32,best,1_06,2,0.0,156.0,True,12.67190146446228
288,blocksworld,2,32,best,1_07,0,0.0,180.0,True,16.203953981399536
289,blocksworld,2,32,best,1_07,1,0.0,182.0,True,16.364653825759888
290,blocksworld,2,32,best,1_07,2,0.0,184.0,True,15.672468662261963
291,blocksworld,2,32,best,1_08,0,0.0,188.0,True,20.970356941223145
292,blocksworld,2,32,best,1_08,1,0.0,198.0,True,22.127718687057495
293,blocksworld,2,32,best,1_08,2,0.0,196.0,True,22.850504636764526
294,blocksworld,2,32,best,1_09,0,0.0,200.0,True,23.44374108314514
295,blocksworld,2,32,best,1_09,1,0.0,206.0,True,23.09104061126709
296,blocksworld,2,32,best,1_09,2,0.0,204.0,True,22.08555507659912
297,blocksworld,2,32,best,1_10,0,0.0,208.0,True,23.430630445480347
298,blocksworld,2,32,best,1_10,1,0.0,214.0,True,23.179457426071167
299,blocksworld,2,32,best,1_10,2,0.0,220.0,True,24.559593677520752
300,blocksworld,2,32,best,1_11,0,0.0,226.0,True,29.5085608959198
301,blocksworld,2,32,best,1_11,1,0.0,238.0,True,32.040905237197876
302,blocksworld,2,32,best,1_11,2,0.0,236.0,True,31.17738962173462
303,blocksworld,2,32,best,1_12,0,0.0,252.0,True,35.67155170440674
304,blocksworld,2,32,best,1_12,1,0.0,256.0,True,36.15943098068237
305,blocksworld,2,32,best,1_12,2,0.0,258.0,True,39.286619424819946
306,blocksworld,2,32,best,1_13,0,0.0,268.0,True,43.31470203399658
307,blocksworld,2,32,best,1_13,1,0.0,288.0,True,44.13017964363098
308,blocksworld,2,32,best,1_13,2,0.0,282.0,True,48.881773471832275
309,blocksworld,2,32,best,1_14,0,0.0,270.0,True,43.32367539405823
310,blocksworld,2,32,best,1_14,1,0.0,268.0,True,44.121843576431274
311,blocksworld,2,32,best,1_14,2,0.0,270.0,True,41.592979431152344
312,blocksworld,2,32,best,1_15,0,0.0,264.0,True,46.440656661987305
313,blocksworld,2,32,best,1_15,1,0.0,282.0,True,47.06257963180542
314,blocksworld,2,32,best,1_15,2,0.0,278.0,True,46.621580600738525
315,blocksworld,2,32,best,1_16,0,0.0,284.0,True,53.926966428756714
316,blocksworld,2,32,best,1_16,1,0.0,294.0,True,57.8032546043396
317,blocksworld,2,32,best,1_16,2,0.0,286.0,True,55.50587797164917
318,blocksworld,2,32,best,1_17,0,0.0,292.0,True,53.90197706222534
319,blocksworld,2,32,best,1_17,1,0.0,304.0,True,58.330103158950806
320,blocksworld,2,32,best,1_17,2,0.0,306.0,True,57.47544860839844
321,blocksworld,2,32,best,1_18,0,0.0,316.0,True,65.49472451210022
322,blocksworld,2,32,best,1_18,1,0.0,332.0,True,68.72120881080627
323,blocksworld,2,32,best,1_18,2,0.0,326.0,True,72.84253978729248
324,blocksworld,2,32,best,1_19,0,0.0,330.0,True,74.72811126708984
325,blocksworld,2,32,best,1_19,1,0.0,334.0,True,85.90582227706909
326,blocksworld,2,32,best,1_19,2,0.0,328.0,True,77.25501704216003
327,blocksworld,2,32,best,1_20,0,0.0,346.0,True,75.04411458969116
328,blocksworld,2,32,best,1_20,1,0.0,360.0,True,85.9952757358551
329,blocksworld,2,32,best,1_20,2,0.0,362.0,True,89.88242506980896
330,blocksworld,2,32,best,1_21,0,0.0,354.0,True,85.47082829475403
331,blocksworld,2,32,best,1_21,1,0.0,368.0,True,89.6559910774231
332,blocksworld,2,32,best,1_21,2,0.0,364.0,True,82.27803683280945
333,blocksworld,2,32,best,1_22,0,0.0,364.0,True,89.34353828430176
334,blocksworld,2,32,best,1_22,1,0.0,372.0,True,111.54643821716309
335,blocksworld,2,32,best,1_22,2,0.0,368.0,True,90.71061420440674
336,blocksworld,2,32,best,1_23,0,0.0,404.0,True,119.56062340736389
337,blocksworld,2,32,best,1_23,1,0.0,410.0,True,132.16337966918945
338,blocksworld,2,32,best,1_23,2,0.0,414.0,True,130.35113549232483
339,blocksworld,2,32,best,1_24,0,0.0,384.0,True,112.42415261268616
340,blocksworld,2,32,best,1_24,1,0.0,392.0,True,124.17756295204163
341,blocksworld,2,32,best,1_24,2,0.0,392.0,True,107.63649106025696
342,blocksworld,2,32,best,1_25,0,0.0,394.0,True,124.54675769805908
343,blocksworld,2,32,best,1_25,1,0.0,414.0,True,127.05993485450745
344,blocksworld,2,32,best,1_25,2,0.0,406.0,True,128.14463138580322
345,blocksworld,2,32,best,1_26,0,0.0,422.0,True,158.53798270225525
346,blocksworld,2,32,best,1_26,1,0.0,444.0,True,158.8826470375061
347,blocksworld,2,32,best,1_26,2,0.0,436.0,True,171.49407744407654
348,blocksworld,2,32,best,1_27,0,0.0,430.0,True,170.0399944782257
349,blocksworld,2,32,best,1_27,1,0.0,432.0,True,198.64341068267822
350,blocksworld,2,32,best,1_27,2,0.0,442.0,True,153.69196319580078
351,blocksworld,2,32,best,1_28,0,0.0,412.0,True,130.18782234191895
352,blocksworld,2,32,best,1_28,1,0.0,434.0,True,147.03833985328674
353,blocksworld,2,32,best,1_28,2,0.0,434.0,True,136.3640604019165
354,blocksworld,2,32,best,1_29,0,0.0,446.0,True,170.1333770751953
355,blocksworld,2,32,best,1_29,1,0.0,462.0,True,185.60900902748108
356,blocksworld,2,32,best,1_29,2,0.0,472.0,True,172.5717272758484
357,blocksworld,2,32,best,1_30,0,0.0,518.0,True,234.8811333179474
358,blocksworld,2,32,best,1_30,1,0.0,506.0,True,296.9137887954712
359,blocksworld,2,32,best,1_30,2,0.0,512.0,True,227.81123685836792
360,blocksworld,2,8,best,0_01,0,0.0,10.0,True,0.4014401435852051
361,blocksworld,2,8,best,0_01,1,0.0,10.0,True,0.4283928871154785
362,blocksworld,2,8,best,0_01,2,0.0,10.0,True,0.5500354766845703
